2026-07-30 10:40:42.764 | INFO     | core.logger:info:35 - Starting JARVIS...
2026-07-30 14:26:29.583 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:26:34.657 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 14:26:34.825 | INFO     | core.logger:info:35 - Listening...
2026-07-30 14:26:40.913 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:26:43.672 | SUCCESS  | core.logger:success:39 - You : open YouTube
2026-07-30 14:26:43.673 | INFO     | core.logger:info:35 - Processing Command : open youtube
2026-07-30 14:26:43.674 | INFO     | core.logger:info:35 - Action : OPEN_YOUTUBE
2026-07-30 14:26:43.675 | INFO     | core.logger:info:35 - Opening YouTube...
2026-07-30 14:26:53.602 | INFO     | core.logger:info:35 - Listening...
2026-07-30 14:26:56.189 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:27:09.990 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 14:27:10.307 | INFO     | core.logger:info:35 - Listening...
2026-07-30 14:27:15.770 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:27:19.621 | WARNING  | core.logger:warning:43 - Couldn't understand.
2026-07-30 14:27:19.798 | INFO     | core.logger:info:35 - Listening...
2026-07-30 14:27:37.030 | INFO     | core.logger:info:35 - Recognizing...
2026-07-30 14:27:43.865 | SUCCESS  | core.logger:success:39 - You : exit
2026-07-30 14:27:43.866 | INFO     | core.logger:info:35 - Processing Command : exit
2026-07-30 14:27:43.867 | INFO     | core.logger:info:35 - Action : EXIT
